Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
bookGreenStreetHooligansLongDesc,items,perk  book,,,"Jab, Jab, Uppercut! Learn everything there is know about being a street hooligan from the Bar Brawler series",,,,,,,,,,,,,,
bookSpartanTraining,items,perk  book,,,Spartan Training,,,,,,,,,,,,,,
bookSpartanTrainingLongDesc,items,perk  book,,,Don't let those biters get close! Use your Spear Hunter training and finish them off at a distance,,,,,,,,,,,,,,
perkEncyclopediaVolOne0Name,progression,perk  book,,,Encyclopedia - Survival of the Fittest,,,,,,,,,,,,,,
perkEncyclopediaVolOne0Desc,progression,perk  book,,,Don't leave anything to chance. Let me teach you everything I know about weapons and armor. The best way to stay alive is to have a good defense and a stronger offense,,,,,,,,,,,,,,
perkEncyclopediaVolTwo0Name,progression,perk  book,,,Encyclopedia - The Apocalyptic Cookbook,,,,,,,,,,,,,,
perkEncyclopediaVolTwo0Desc,progression,perk  book,,,"Don't let the apocalypse be the reason that you have to eat like a trash panda. With this collection you'll find everything you need to know about seeds, food, and drink.",,,,,,,,,,,,,,
perkEncyclopediaVolThree0Name,progression,perk  book,,,Encyclopedia - The Basics,,,,,,,,,,,,,,
perkEncyclopediaVolThree0Desc,progression,perk  book,,,"Never skip the basics! This collection includes basic items like workstations, tool and their mods, medical, electronics, and vehicles",,,,,,,,,,,,,,
perkEncyclopediaCompleteLongDesc,progression,perk  book,,,Once you've collected all of the books in this set you will have learned all of the schematics in this series,,,,,,,,,,,,,,
bookEncyclopediaVolOneMelee,items,perk  book,,,Hand to Hand Combat,,,,,,,,,,,,,,
perkEncyclopediaVolOneMeleeDesc,progression,perk  book,,,Hand to Hand Combat \n----Learn all melee weapon schematics,,,,,,,,,,,,,,
perkEncyclopediaVolOneMeleeLongDesc,progression,perk  book,,,Learn how to craft all melee weapons,,,,,,,,,,,,,,
bookEncyclopediaVolOneGuns,items,perk  book,,,Sabbath's Ultimate Weapon Manual,,,,,,,,,,,,,,
perkEncyclopediaVolOneGunsDesc,progression,perk  book,,,Sabbath's Ultimate Weapon Manual \n----Learn all bows and firearms,,,,,,,,,,,,,,
perkEncyclopediaVolOneGunsLongDesc,progression,perk  book,,,"Learn how to craft bows, crossbows, and all firearms",,,,,,,,,,,,,,
bookEncyclopediaVolOneWeaponMods,items,perk  book,,,Kundrav's Weapon Modification Lexicon,,,,,,,,,,,,,,
perkEncyclopediaVolOneWeaponModsDesc,progression,perk  book,,,Kundrav's Weapon Modification Lexicon \n----Learn all weapon mod schematics,,,,,,,,,,,,,,
perkEncyclopediaVolOneWeaponModsLongDesc,progression,perk  book,,,Learn how to craft all weapon mods that aren't locked by perk books,,,,,,,,,,,,,,
bookEncyclopediaVolOneExplosives,items,perk  book,,,Wabbiit's Weapons of Mass Destruction,,,,,,,,,,,,,,
perkEncyclopediaVolOneExplosivesDesc,progression,perk  book,,,Wabbiit's Weapons of Mass Destruction \n----Learn all explosive schematics,,,,,,,,,,,,,,
perkEncyclopediaVolOneExplosivesLongDesc,progression,perk  book,,,Make things go boom with all the explosives,,,,,,,,,,,,,,
bookEncyclopediaVolOneArmor,items,perk  book,,,Frreya's Armor of the Gods,,,,,,,,,,,,,,
perkEncyclopediaVolOneArmorDesc,progression,perk  book,,,Frreya's Armor of the Gods \n----Learn all armor schematics,,,,,,,,,,,,,,
perkEncyclopediaVolOneArmorLongDesc,progression,perk  book,,,Learn to craft all of the different types of armor,,,,,,,,,,,,,,
bookEncyclopediaVolOneArmorMods,items,perk  book,,,Mexi's Manual to Armor Utilization,,,,,,,,,,,,,,
perkEncyclopediaVolOneArmorModsDesc,progression,perk  book,,,Mexi's Manual to Armor Utilization \n----Learn all armor mod schematics,,,,,,,,,,,,,,
perkEncyclopediaVolOneArmorModsLongDesc,progression,perk  book,,,Yes!!,,,,,,,,,,,,,,
bookEncyclopediaVolOneTraps,items,perk  book,,,McNinja's Compendium of Turrets and Traps,,,,,,,,,,,,,,
perkEncyclopediaVolOneTrapsDesc,progression,perk  book,,,McNinja's Compendium of Turrets and Traps \n----Learn all turret and trap schematics,,,,,,,,,,,,,,
perkEncyclopediaVolOneTrapsLongDesc,progression,perk  book,,,"Learn all turrets along with the dart, blade, and electric wire trap",,,,,,,,,,,,,,
bookEncyclopediaVolOneComplete,items,perk  book,,,Completed Vol 1,,,,,,,,,,,,,,
perkEncyclopediaVolOneCompleteDesc,progression,perk  book,,,Volume 1 Collection Complete,,,,,,,,,,,,,,
bookEncyclopediaVolTwoSeeds,items,perk  book,,,Farmer's Almanac,,,,,,,,,,,,,,
perkEncyclopediaVolTwoSeedsDesc,progression,perk  book,,,Farmer's Almanac - Learn all seeds recipes,,,,,,,,,,,,,,
perkEncyclopediaVolTwoSeedsLongDesc,progression,perk  book,,,Learn how to craft all seeds,,,,,,,,,,,,,,
bookEncyclopediaVolTwoFood,items,perk  book,,,Grandma's Secret Recipes,,,,,,,,,,,,,,
perkEncyclopediaVolTwoFoodDesc,progression,perk  book,,,Grandma's Secret Recipes - Learn all food recipes,,,,,,,,,,,,,,
perkEncyclopediaVolTwoFoodLongDesc,progression,perk  book,,,Learn how to cook all food recipes,,,,,,,,,,,,,,
bookEncyclopediaVolTwoDrinks,items,perk  book,,,Bartender's Friend,,,,,,,,,,,,,,
perkEncyclopediaVolTwoDrinksDesc,progression,perk  book,,,Bartender's Friend - Learn all drink recipes,,,,,,,,,,,,,,
perkEncyclopediaVolTwoDrinksLongDesc,progression,perk  book,,,Learn how to craft all drink recipes including Grandpa's Drinks,,,,,,,,,,,,,,
bookEncyclopediaVolTwoCarMods,items,perk  book,,,After Market Parts,,,,,,,,,,,,,,
perkEncyclopediaVolTwoCarModsDesc,progression,perk  book,,,After Market Parts - Learn how to craft vehicle mods,,,,,,,,,,,,,,
perkEncyclopediaVolTwoCarModsLongDesc,progression,perk  book,,,Learn how to create all of the vehicle mods,,,,,,,,,,,,,,
bookEncyclopediaVolTwoDroneMods,items,perk  book,,,Eye in the Sky,,,,,,,,,,,,,,
perkEncyclopediaVolTwoDroneModsDesc,progression,perk  book,,,Eye in the Sky - Learn how to craft the drone and drone mods,,,,,,,,,,,,,,
perkEncyclopediaVolTwoDroneModsLongDesc,progression,perk  book,,,Learn how to create the drone and all of the drone mods,,,,,,,,,,,,,,
bookEncyclopediaVolTwoComplete,items,perk  book,,,Completed Vol 2,,,,,,,,,,,,,,
perkEncyclopediaVolTwoCompleteDesc,progression,perk  book,,,Volume 2 Collection Complete,,,,,,,,,,,,,,
bookEncyclopediaVolThreeWorkstations,items,perk  book,,,Crafter's Guide,,,,,,,,,,,,,,
perkEncyclopediaVolThreeWorkstationsDesc,progression,perk  book,,,Crafter's Guide \n----Learn all workstation schematics,,,,,,,,,,,,,,
perkEncyclopediaVolThreeWorkstationsLongDesc,progression,perk  book,,,Learn how to craft all workstations and their parts,,,,,,,,,,,,,,
bookEncyclopediaVolThreeTools,items,perk  book,,,Mac Tool's Catalog,,,,,,,,,,,,,,
perkEncyclopediaVolThreeToolsDesc,progression,perk  book,,,Mac Tool's Catalog \n----Learn all Tool schematics,,,,,,,,,,,,,,
perkEncyclopediaVolThreeToolsLongDesc,progression,perk  book,,,Learn how to create all tools including the auger and chainsaw,,,,,,,,,,,,,,
bookEncyclopediaVolThreeToolMods,items,perk  book,,,Handyman's Special,,,,,,,,,,,,,,
perkEncyclopediaVolThreeToolModsDesc,progression,perk  book,,,Handyman's Special \n----Learn all Tool mod schematics,,,,,,,,,,,,,,
perkEncyclopediaVolThreeToolModsLongDesc,progression,perk  book,,,Learn how to create all of the tool mods including small and large tanks,,,,,,,,,,,,,,
bookEncyclopediaVolThreeMedical,items,perk  book,,,Dr. Death Defy's Medical Dictionary,,,,,,,,,,,,,,
perkEncyclopediaVolThreeMedicalDesc,progression,perk  book,,,Dr. Death Defy's Medical Dictionary \n----Learn all medical schematics,,,,,,,,,,,,,,
perkEncyclopediaVolThreeMedicalLongDesc,progression,perk  book,,,Learn how create all medical supplies,,,,,,,,,,,,,,
bookEncyclopediaVolThreeElectronics,items,perk  book,,,Electrical for Dummies,,,,,,,,,,,,,,
perkEncyclopediaVolThreeElectronicsDesc,progression,perk  book,,,Electrical for Dummies \n----Learn how to create electrical components,,,,,,,,,,,,,,
perkEncyclopediaVolThreeElectronicsLongDesc,progression,perk  book,,,"Learn how to create electrical components, powered doors and bridges, power banks",,,,,,,,,,,,,,
bookEncyclopediaVolThreeCars,items,perk  book,,,Hayes' Vehicle Repair Guide,,,,,,,,,,,,,,
perkEncyclopediaVolThreeCarsDesc,progression,perk  book,,,Hayes' Vehicle Repair Guide \n----Learn all vehicle schematics,,,,,,,,,,,,,,
perkEncyclopediaVolThreeCarsLongDesc,progression,perk  book,,,Learn how to create all of the vehicles along with oil and gasoline,,,,,,,,,,,,,,
bookEncyclopediaVolThreeWeaponParts,items,perk  book,,,Weapon Smithing for Beginners,,,,,,,,,,,,,,
perkEncyclopediaVolThreeWeaponPartsDesc,progression,perk  book,,,Weapon Smithing for Beginners \n----Learn all Weapon Parts schematics,,,,,,,,,,,,,,
perkEncyclopediaVolThreeWeaponPartsLongDesc,progression,perk  book,,,Learn how to create all of the basic weapon parts,,,,,,,,,,,,,,
bookEncyclopediaVolThreeComplete,items,perk  book,,,Completed Vol 3,,,,,,,,,,,,,,
perkEncyclopediaVolThreeCompleteDesc,progression,perk  book,,,Volume 3 Collection Complete,,,,,,,,,,,,,,
